Date,Record ID,Approaches to teaching,Assessment,Curriculum,Differentiation,Fun,Not engaged,Problem solving,Resources,Students lack of understanding,Teachers subject knowledge,Technology issues,Terminology
12/11/2018,556,1,,,,,,,,,1,,
12/11/2018,557,1,,,1,,,,,,,,
12/11/2018,558,1,,1,,,,,,,,,
15/11/2018,559,,,,,,,,1,,,,
16/11/2018,560,1,,,,1,,,,,,,
18/11/2018,561,,,,,,,,,,,,1
18/11/2018,562,1,,,,,,,,,,,
19/11/2018,563,,,,,,,,1,,,,
21/11/2018,564,,,,,,,,1,,,,
22/11/2018,565,1,,,,,,,,,,,
24/11/2018,566,,1,,,,,,,,,,
26/11/2018,567,1,,,,,,,,,,,
29/11/2018,569,1,,,,,,,1,,,,
30/11/2018,570,1,,1,,,,,,,,,
30/11/2018,571,1,,,,,,,,1,,,
03/12/2018,572,1,,,,,,,,,,,
03/12/2018,573,,,,,,,,,,,,1
03/12/2018,574,1,,,1,,,,,,,,
06/12/2018,575,1,,,,,,,,,,,
07/12/2018,576,,,1,,,,,,,,,
09/12/2018,577,,,,,,,,,,,,1
10/12/2018,578,1,,,,,,,,,,,
10/12/2018,579,,,,,,,,1,,,,
11/12/2018,580,,,1,,,,,,,,,
11/12/2018,581,,,1,,,,,,,,,
11/12/2018,582,,,1,,,,,,,,,
12/12/2018,583,1,,1,,,,,,,,,
15/12/2018,584,,,,,,,,,,,,1
16/12/2018,585,,,1,,,,,,,,,
17/12/2018,586,1,,,,,,,,,,,
17/12/2018,587,1,,,,,,,,,,,
17/12/2018,588,,,,,,,,,,,,1
19/12/2018,589,,,1,,,,,,1,,,
20/12/2018,592,1,,,,,,,1,,,,
21/12/2018,593,,,1,,,,,,,,,
22/12/2018,594,1,,,,,,,,,,,
23/12/2018,595,1,,,,,,,,,,,
23/12/2018,596,,,,,,,,1,,,,
26/12/2018,598,,,,,,,,,,,,
26/12/2018,599,1,,,,,,,1,,,,
27/12/2018,600,1,,,,,,1,,1,,,
28/12/2018,602,,,,,,,,1,,,,
29/12/2018,603,,,,,,1,,,,,,
30/12/2018,604,,1,,,,,,,,,,
30/12/2018,605,,,,,,,,1,,,,
31/12/2018,606,,,,,,,,,,,,1
03/01/2019,607,,,1,,,,,,,,,
03/01/2019,608,1,,,,,,,,,,,
04/01/2019,609,,,,,,,,1,,,,
08/01/2019,611,,,,,,,,,,,,1
11/01/2019,612,1,,,,,,,1,,,,
14/01/2019,613,,1,,,,,,,,,,
18/01/2019,614,,,,,,,,1,,,,
23/01/2019,617,1,,,,,,,1,,,,
24/01/2019,618,,,,,,,,,,,,
24/01/2019,619,,,,,,,,1,,,,
24/01/2019,620,1,,,,,,,,,,,
24/01/2019,621,1,,,1,,,,,,,,
25/01/2019,622,,,,,,,,1,,,,
28/01/2019,625,1,,,,,,,,,,,1
29/01/2019,626,1,,,,,,,,,,,
30/01/2019,627,,,1,,,,,,,,,
31/01/2019,628,,,,,,,,,,,,1
04/02/2019,629,,,,,,,,1,,,,
05/02/2019,630,1,,,,,,,,,,,
05/02/2019,631,,,,,,,,,,,,1
07/02/2019,632,,,,,,,,1,,,,
08/02/2019,633,,1,,,,1,,,,,,
09/02/2019,634,1,,,,,,,,,,,1
11/02/2019,635,1,,,,,,,1,,,,
14/02/2019,639,1,,,,,,,,,1,,
15/02/2019,640,,,,,,,,,,,,
15/02/2019,641,,,,,,,,1,,,,
17/02/2019,642,,,,,,,,,,,,1
18/02/2019,644,,,,,,,,1,,,,
18/02/2019,646,,,1,,,,,,,,,
19/02/2019,647,1,,,,,,,,,,,
20/02/2019,648,1,,,,,,,,,,,
21/02/2019,649,,,,1,,,,,1,,,
25/02/2019,650,,,1,,,,,,,,,
25/02/2019,651,,1,,,,,,,,,,
26/02/2019,653,1,,,,,,,,,,,
26/02/2019,654,1,,,,,,,,,,,1
02/03/2019,655,1,,,,,,,,,,,
02/03/2019,656,,,,1,,,,1,,,,
03/03/2019,657,,,1,,,,,,,,,
06/03/2019,659,1,,1,,,,,,,,,
10/03/2019,660,1,,,,,,,,,,,1
12/03/2019,661,1,,,,,,,,,,,
14/03/2019,662,1,,,,,,,,,,,
16/03/2019,663,1,,,,,,,,,1,,
16/03/2019,664,1,,1,,,,,1,,,,
21/03/2019,666,1,,,,,,,,,1,,
22/03/2019,667,1,,,,,,,,,,,1
25/03/2019,668,1,,,,,,,,,,,
26/03/2019,669,1,,1,,,,,,,,,
27/03/2019,670,,,,,,,,1,,,,
27/03/2019,671,,,,,,,,,,,,1
27/03/2019,672,1,,,,,,,,,,,
28/03/2019,674,,,,,,,,1,,,,
28/03/2019,675,,,,,,,,1,,,,
01/04/2019,679,1,,,,,,,,,,,
02/04/2019,680,1,,,1,,1,,,,,,
04/04/2019,684,,,,,,,,,,,,
07/04/2019,685,1,,,1,,,,,,,,
09/04/2019,686,1,,,,,,,,1,,,
10/04/2019,688,1,,,,,,,,1,,,
15/04/2019,690,,,,,,,,1,,,,
15/04/2019,691,1,,,,,,,,,,,
16/04/2019,383,1,,,,,,,,,,,
17/04/2019,692,1,,,1,,,,,,,,
17/04/2019,693,1,,,,,,,,1,,,
20/04/2019,694,1,,,,,,,,,,,
25/04/2019,696,,,1,,,,,,,,,
26/04/2019,697,1,,,,,,,,,,,
30/04/2019,699,,,,,,,,,,,,
30/04/2019,700,,,1,1,,,,,,,,
01/05/2019,701,,,,,,,,,,,,
01/05/2019,702,,,,,,,,,,,,1
01/05/2019,703,1,,,,,,,,,,,
02/05/2019,704,,,,,,,,,,,,1
02/05/2019,705,1,,,,,,,1,,,,
03/05/2019,706,,,,,,,,,1,,,
03/05/2019,707,,,,,,,,,,,,1
04/05/2019,708,,1,,,,,,,,,,
05/05/2019,709,,,1,,,,,,,,,
05/05/2019,710,,,,,,,,,,,,1
09/05/2019,711,,,1,,,,,,,,,
10/05/2019,712,,1,,,,,,,,,,
10/05/2019,713,1,,,,,,,,,,,
12/05/2019,714,,,,,,,,1,,,,1
16/05/2019,715,,,,,,,,1,,,,
16/05/2019,716,1,,,,,,,,,,,
19/05/2019,718,,,1,,,1,,,,,,
20/05/2019,719,1,,,,,,,,,,,
21/05/2019,720,,,,,,,,,,,,1
27/05/2019,722,1,,,,,,,,,,,
28/05/2019,723,,,,,,,,1,,,,
28/05/2019,724,1,,,,,,,,,,,
29/05/2019,725,1,,,,,,,1,,,,
04/06/2019,729,,,,,,,,,,,,1
07/06/2019,730,1,,,,,,,,,,,1
09/06/2019,731,,,,,,,,,,,,1
18/06/2019,735,,,,,,,,1,,,,
21/06/2019,737,1,,,,,,,,,,,
24/06/2019,739,1,,,,,,,,,,,
25/06/2019,740,1,,,,,,,,,,,
25/06/2019,741,1,,1,,,,,,,,,
26/06/2019,743,,,,,,,,1,,,,
27/06/2019,744,1,,,,,,,1,,,,
02/07/2019,745,1,,,,,,,,,,,
04/07/2019,747,1,,,,,,,,,,,
11/07/2019,750,,,1,,,,,,,,,
15/07/2019,751,,1,,,,,,,,,,
20/07/2019,754,1,,,,,,,,,,,
24/07/2019,755,,,,,,,,,,,,
25/07/2019,757,,,,,,,,1,,,,
29/07/2019,759,,,,,,,,1,,,,
06/08/2019,763,1,,,,,,,,,,,
07/08/2019,765,,1,,,,,,,,,,
13/08/2019,476,1,,,,,,,,,,,
13/08/2019,767,,1,,,,,,,,,,
14/08/2019,768,,,,,,,,,1,,,
15/08/2019,769,1,,,,,,,,1,,,
16/08/2019,770,,,,,,,,,1,,,
17/08/2019,771,,,1,,,,,,,,,
21/08/2019,774,,,1,,,,,,,,,
24/08/2019,775,1,,,,,,,1,,,,
30/08/2019,776,,,,,,,,1,,,,
01/09/2019,777,,,,,,,,,,,,
01/09/2019,778,1,,,,,,,,,,,1
02/09/2019,779,1,,,,,,,,,,,
02/09/2019,781,1,,,,,,,,,,,
02/09/2019,782,1,,,,,,,,,,,
03/09/2019,783,,,,,,,,,,,,1
06/09/2019,784,1,,,,,,,,1,,,
